归一化波数theta除以pi,Taylor数值波数比,优化系数数值波数比,Taylor相对误差,优化系数相对误差
0.117,0.999999999171387,0.999901464419797,-8.28612733982936e-10,-9.85355802032295e-05
0.1175,0.999999999129866,0.999900970811405,-8.70133742836288e-10,-9.90291885951677e-05
0.118,0.999999999086758,0.999900480220478,-9.13241926525643e-10,-9.95197795218283e-05
0.1185,0.999999999042009,0.99989999269177,-9.57991463934604e-10,-0.000100007308230343
0.119,0.999999998995562,0.999899508269835,-1.00443797723671e-09,-0.000100491730164909
0.1195,0.999999998947361,0.999899026999029,-1.05263908700692e-09,-0.000100973000971338
0.12,0.999999998897347,0.9998985489235,-1.10265341302096e-09,-0.000101451076500059
0.1205,0.999999998845459,0.99989807408719,-1.15454146243366e-09,-0.000101925912809553
0.121,0.999999998791633,0.99989760253383,-1.20836651795742e-09,-0.000102397466170356
0.1215,0.999999998735808,0.999897134306932,-1.26419208434925e-09,-0.000102865693067833
0.122,0.999999998677916,0.999896669449794,-1.32208433090142e-09,-0.000103330550206282
0.1225,0.999999998617889,0.999896208005488,-1.38211142530764e-09,-0.000103791994511604
0.123,0.999999998555657,0.999895750016863,-1.44434342264077e-09,-0.000104249983136517
0.1235,0.999999998491148,0.99989529552654,-1.50885182126359e-09,-0.000104704473460115
0.124,0.999999998424289,0.999894844576904,-1.57571122816336e-09,-0.000105155423096304
0.1245,0.999999998355003,0.999894397210107,-1.64499691646114e-09,-0.000105602789893244
0.125,0.999999998283212,0.999893953468061,-1.71678793403629e-09,-0.000106046531938797
0.1255,0.999999998208836,0.999893513392437,-1.79116355081277e-09,-0.000106486607562628
0.126,0.999999998131793,0.999893077024659,-1.86820714453972e-09,-0.000106922975340651
0.1265,0.999999998051997,0.999892644405902,-1.94800331421163e-09,-0.000107355594098246
0.127,0.999999997969361,0.999892215577088,-2.03063932335823e-09,-0.000107784422911705
0.1275,0.999999997883795,0.999891790578885,-2.1162047669776e-09,-0.00010820942111478
0.128,0.999999997795208,0.999891369451701,-2.20479157153619e-09,-0.000108630548298794
0.1285,0.999999997703506,0.999890952235682,-2.29649410599109e-09,-0.000109047764317638
0.129,0.99999999760859,0.999890538970709,-2.39141006996846e-09,-0.000109461029291213
0.1295,0.999999997510362,0.999890129696392,-2.4896384953621e-09,-0.000109870303607651
0.13,0.999999997408718,0.999889724452073,-2.5912821888241e-09,-0.000110275547926864
0.1305,0.999999997303554,0.999889323276816,-2.69644617745257e-09,-0.000110676723184433
0.131,0.999999997194761,0.999888926209407,-2.80523859697013e-09,-0.000111073790593386
0.1315,0.99999999708223,0.999888533288351,-2.91776991456771e-09,-0.000111466711648966
0.132,0.999999996965846,0.99988814455187,-3.03415403912766e-09,-0.000111855448130194
0.1325,0.999999996845492,0.999887760037896,-3.15450776611215e-09,-0.000112239962104299
0.133,0.999999996721049,0.99988737978407,-3.27895055551863e-09,-0.000112620215929615
0.1335,0.999999996592394,0.999887003827743,-3.40760575312515e-09,-0.00011299617225724
0.134,0.999999996459401,0.999886632205963,-3.5405992582227e-09,-0.000113367794036812
0.1345,0.99999999632194,0.999886264955484,-3.67806041179364e-09,-0.000113735044516061
0.135,0.999999996179878,0.999885902112752,-3.82012232957862e-09,-0.000114097887247699
0.1355,0.999999996033079,0.999885543713911,-3.96692068083127e-09,-0.00011445628608886
0.136,0.999999995881405,0.999885189794793,-4.11859535365267e-09,-0.000114810205206983
0.1365,0.999999995724711,0.99988484039092,-4.27528890067919e-09,-0.00011515960908004
0.137,0.999999995562851,0.999884495537498,-4.4371487595285e-09,-0.000115504462502303
0.1375,0.999999995395675,0.999884155269414,-4.60432547644274e-09,-0.000115844730585901
0.138,0.999999995223027,0.999883819621238,-4.77697337242233e-09,-0.000116180378762376
0.1385,0.99999999504475,0.999883488627212,-4.95525009913678e-09,-0.000116511372788342
0.139,0.999999994860681,0.999883162321254,-5.13931852630378e-09,-0.000116837678746151
0.1395,0.999999994670656,0.999882840736952,-5.32934418817632e-09,-0.000117159263048006
0.14,0.999999994474502,0.999882523907562,-5.52549783705558e-09,-0.000117476092437729
0.1405,0.999999994272046,0.999882211866005,-5.72795400000103e-09,-0.0001177881339951
0.141,0.999999994063109,0.999881904644864,-5.93689108985274e-09,-0.000118095355136405
0.1415,0.999999993847507,0.99988160227638,-6.15249273749896e-09,-0.00011839772361999
0.142,0.999999993625053,0.999881304792454,-6.37494657063087e-09,-0.000118695207545927
0.1425,0.999999993395555,0.999881012224639,-6.60444465783172e-09,-0.000118987775361123
0.143,0.999999993158816,0.999880724604138,-6.84118361959918e-09,-0.00011927539586154
0.1435,0.999999992914634,0.999880441961806,-7.08536584959063e-09,-0.000119558038193635
