时间_s,无吸收边界带能量,PML边界带能量,PML相对无吸收比值
1.4344321140391,23149.0300762183,8236.67782035652,0.355810925694822
1.43489142627542,23134.2440851566,8232.89417403595,0.355874786473717
1.43535073851175,23119.5014706582,8229.13797475725,0.355939248309534
1.43581005074807,23104.8598498404,8225.40828834998,0.35600338378191
1.4362693629844,23090.3787127962,8221.70364988723,0.356066210613122
1.43672867522072,23076.1188592168,8218.02204035087,0.356126699229082
1.43718798745704,23062.1417702166,8214.3608698852,0.356183781702945
1.43764729969337,23048.5089239581,8210.71696819512,0.356236361982635
1.43810661192969,23035.2810651368,8207.0865825596,0.35628332727317
1.43856592416601,23022.5174396579,8203.4653838331,0.356323560415772
1.43902523640234,23010.2750069054,8199.84848069837,0.356355953079117
1.43948454863866,22998.6076428411,8196.2304423146,0.356379419554379
1.43994386087499,22987.5653477477,8192.60532937822,0.356392910925686
1.44040317311131,22977.1934727528,8188.9667334804,0.356395429371789
1.44086248534763,22967.5319793084,8185.30782450899,0.35638604234374
1.44132179758396,22958.61474557,8181.62140570522,0.356363896357637
1.44178110982028,22950.4689331111,8177.89997584911,0.356328230141332
1.4422404220566,22943.1144266411,8174.13579791593,0.356278386879521
1.44269973429293,22936.5633583719,8170.32097342033,0.35621382531303
1.44315904652925,22930.8197274339,8166.44752154908,0.356134129465024
1.44361835876558,22925.8791232804,8162.5074620788,0.356039016789113
1.4440776710019,22921.7285603908,8158.49290098501,0.355928344561372
1.44453698323822,22918.3464297982,8154.39611757445,0.355802114369481
1.44499629547455,22915.7025710733,8150.20965191676,0.355660474586751
1.44545560771087,22913.7584664224,8145.92639131445,0.355503720755868
1.44591491994719,22912.4675565438,8141.53965453469,0.355332293845822
1.44637423218352,22911.7756758669,8137.04327253133,0.355146776384605
1.44683354441984,22911.621602812,8132.43166441317,0.354947886509049
1.44729285665617,22911.9377187891,8127.6999074639,0.35473647001051
1.44775216889249,22912.6507678378,8122.84380008925,0.354513490490205
1.44821148112881,22913.6827071216,8117.85991665888,0.354280017770161
1.44867079336514,22914.9516369707,8112.7456533205,0.354037214734134
1.44913010560146,22916.3727978241,8107.49926399234,0.353786322797216
1.44958941783778,22917.8596202929,8102.11988588384,0.353528646222692
1.45004873007411,22919.3248136576,8096.60755405164,0.353265535519916
1.45050804231043,22920.6814774414,8090.96320466573,0.352998370167522
1.45096735454676,22921.8442202741,8085.18866683602,0.352728540912287
1.45142666678308,22922.7302700826,8079.28664302996,0.352457431895648
1.4518859790194,22923.2605597176,8073.26067829305,0.35218640285754
1.45234529125573,22923.3607724344,8067.11511866424,0.351916771661381
1.45280460349205,22922.9623322025,8060.8550593523,0.351649797374937
1.45326391572837,22922.0033245853,8054.48628340596,0.351386664130138
1.4537232279647,22920.4293349174,8048.01519176495,0.351128465970943
1.45418254020102,22918.1941916755,8041.4487257199,0.35087619288263
1.45464185243735,22915.2606042828,8034.7942829323,0.350630718178724
1.45510116467367,22911.6006860733,8028.05962826982,0.350392787403528
1.45556047690999,22907.1963547556,8021.25280079517,0.350163008889123
1.45601978914632,22902.0396044238,8014.38201830646,0.349941846085987
1.45647910138264,22896.1326449488,8007.45558086272,0.349729611766085
1.45693841361896,22889.4879064061,8000.48177473897,0.349526464176591
1.45739772585529,22882.127908051,7993.46877824135,0.349332405201218
1.45785703809161,22874.0849931896,7986.42457077319,0.349147280564491
1.45831635032794,22865.4009331129,7979.3568464801,0.348970782092198
1.45877566256426,22856.126405017,7972.27293371568,0.348802452018542
1.45923497480058,22846.3203505209,7965.17972146161,0.348641689307312
1.45969428703691,22836.0492229789,7958.08359370917,0.34848775793062
1.46015359927323,22825.3861332603,7950.99037266499,0.348339797024468
1.46061291150955,22814.4099050066,7943.90527148557,0.348196832815838
1.46107222374588,22803.2040515718,7936.83285707563,0.348057792191206
1.4615315359822,22791.8556878808,7929.77702330771,0.34792151775181
1.46199084821853,22780.4543913011,7922.7409748382,0.347786784176859
1.46245016045485,22769.0910262982,7915.72722151157,0.34765231569275
1.46290947269117,22757.8565481361,7908.73758316291,0.347516804424652
1.4633687849275,22746.8408011748,7901.77320445385,0.34737892938723
1.46382809716382,22736.1313274159,7894.83457920969,0.347237375854258
1.46428740940014,22725.8122008473,7887.92158357109,0.347090854833211
1.46474672163647,22715.9629028367,7881.03351713398,0.346938122361074
1.46520603387279,22706.6572533362,7874.16915112872,0.346777998332264
1.46566534610912,22697.9624119773,7867.32678258704,0.346609384569057
1.46612465834544,22689.9379622769,7860.50429336373,0.346431281849787
1.46658397058176,22682.6350911406,7853.69921282157,0.346242805620458
1.46704328281809,22676.0958746573,7846.90878295309,0.346043200131411
1.46750259505441,22670.3526798369,7840.13002470155,0.345831850762277
1.46796190729073,22665.4276904718,7833.35980425691,0.345608294325279
1.46842121952706,22661.332563711,7826.59489813899,0.345372227168679
1.46888053176338,22658.0682222537,7819.83205593843,0.345123510938067
1.46933984399971,22655.6247853027,7813.06805966645,0.344862175892628
1.46979915623603,22653.9816396034,7806.29977876241,0.344588421715481
1.47025846847235,22653.1076500399,7799.52421992415,0.344302615800726
1.47071778070868,22652.9615074049,7792.7385710553,0.344005289043907
1.471177092945,22653.4922091121,7785.94023876451,0.343697129206097
1.47163640518132,22654.63966682,7779.12687900086,0.343378971963707
1.47209571741765,22656.3354331973,7772.29642056319,0.343051789795396
1.47255502965397,22658.5035384167,7765.44708137701,0.342716678893245
1.4730143418903,22661.0614254293,7758.57737758657,0.342374844316878
1.47347365412662,22663.9209716857,7751.68612565883,0.342027583635819
