time_s,vz_taylor,vz_optimized,vx_taylor,vx_optimized
0.305825397,-1.85187623e-33,-2.97917237e-28,-2.38323231e-33,-1.77098591e-28
0.30762437,2.94202771e-33,-7.44489365e-28,8.17368808e-34,-5.63945773e-28
0.309423343,1.11133135e-32,-1.17163083e-27,6.95516715e-33,-9.73958374e-28
0.311222316,2.13367504e-32,-1.3418495e-27,1.54387296e-32,-1.2121385e-27
0.313021289,2.96667062e-32,-9.59187491e-28,2.36490949e-32,-1.0160168e-27
0.314820262,2.91609043e-32,2.24699676e-28,2.64022067e-32,-1.38061498e-28
0.316619235,1.08888718e-32,2.24536215e-27,1.63820861e-32,1.51483494e-27
0.318418208,-3.28623854e-32,4.73991853e-27,-1.37286302e-32,3.71228281e-27
0.320217181,-1.02841247e-31,6.81983727e-27,-6.69622307e-32,5.76555533e-27
0.322016154,-1.85330815e-31,7.11168919e-27,-1.35964946e-31,6.52206346e-27
0.323815127,-2.45475556e-31,4.07377091e-27,-1.96810831e-31,4.59065745e-27
0.3256141,-2.26084476e-31,-3.3608486e-27,-2.06207824e-31,-1.14094405e-27
0.327413072,-5.7991059e-32,-1.48899388e-26,-1.0702836e-31,-1.07364519e-26
0.329212045,3.12581153e-31,-2.79529744e-26,1.52849757e-31,-2.23850757e-26
0.331011018,8.78510069e-31,-3.72918991e-26,5.86122595e-31,-3.18888101e-26
0.332809991,1.51606366e-30,-3.55125021e-26,1.12037515e-30,-3.29491483e-26
0.334608964,1.94021929e-30,-1.51093083e-26,1.55587045e-30,-1.87005924e-26
0.336407937,1.7063573e-30,2.79617379e-26,1.55361495e-30,1.53491152e-26
0.33820691,3.01586778e-31,8.97716651e-26,6.89068159e-31,6.7385096e-26
0.340005883,-2.63942457e-30,1.54471683e-25,-1.39602393e-30,1.25552615e-25
0.341804856,-6.99444774e-30,1.93221176e-25,-4.73452686e-30,1.66378306e-25
0.343603829,-1.17574798e-29,1.68566614e-25,-8.70826037e-30,1.57648139e-25
0.345402802,-1.47475831e-29,4.60666466e-26,-1.17701296e-29,6.75324572e-26
0.347201775,-1.26763682e-29,-1.87226816e-25,-1.14077755e-29,-1.1998127e-25
0.349000748,-1.86897355e-30,-5.01346989e-25,-4.59034889e-30,-3.8625047e-25
0.35079972,2.01443091e-29,-8.07085432e-25,1.10974107e-29,-6.62272842e-25
0.352598693,5.22109401e-29,-9.5597527e-25,3.56087501e-29,-8.25700922e-25
0.354397666,8.68326957e-29,-7.6790445e-25,6.42036514e-29,-7.20781404e-25
0.356196639,1.08281038e-28,-9.25721802e-26,8.56550378e-29,-2.07681231e-25
0.357995612,9.32838118e-29,1.10045957e-24,8.22191583e-29,7.61634415e-25
0.359794585,1.62274164e-29,2.62513957e-24,3.29581475e-29,2.05805094e-24
0.361593558,-1.39782389e-28,4.01563724e-24,-7.83254704e-29,3.31344436e-24
0.363392531,-3.66470446e-28,4.54783459e-24,-2.50542762e-28,3.92656049e-24
0.365191504,-6.12172922e-28,3.39274435e-24,-4.50514134e-28,3.17934076e-24
0.366990477,-7.69515555e-28,-7.95894577e-26,-6.01449274e-28,4.84329291e-25
0.36878945,-6.80331223e-28,-5.88294129e-24,-5.83383356e-28,-4.2621507e-24
0.370588423,-1.70306877e-28,-1.2997219e-23,-2.55690309e-28,-1.03108298e-23
0.372387396,8.78240623e-28,-1.91369234e-23,4.90581832e-28,-1.58299259e-23
0.374186369,2.41878078e-27,-2.09307642e-23,1.65104292e-27,-1.8009173e-23
0.375985341,4.12147609e-27,-1.47002262e-23,3.01237231e-27,-1.36676993e-23
0.377784314,5.29121289e-27,2.11949597e-24,4.07806128e-27,-4.21205948e-25
0.379583287,4.89418151e-27,2.91283486e-23,4.06985591e-27,2.17485442e-23
0.38138226,1.77151673e-27,6.12164733e-23,2.06776706e-27,4.89563998e-23
0.383181233,-4.90644852e-27,8.77556277e-23,-2.66343948e-27,7.2604019e-23
0.384980206,-1.49630121e-26,9.36728859e-23,-1.01636969e-26,8.01123456e-23
0.386779179,-2.64539142e-26,6.3129335e-23,-1.91757852e-26,5.78490472e-23
0.388578152,-3.51150606e-26,-1.41483599e-23,-2.66644596e-26,-3.64293576e-24
0.390377125,-3.44525531e-26,-1.34948413e-22,-2.77843398e-26,-1.02939404e-22
0.392176098,-1.69582961e-26,-2.75471181e-22,-1.66779786e-26,-2.21520453e-22
0.393975071,2.32020518e-26,-3.88579179e-22,1.15972055e-26,-3.21015176e-22
0.395774044,8.60895307e-26,-4.09248852e-22,5.80030389e-26,-3.47208148e-22
0.397573017,1.61245587e-25,-2.70941762e-22,1.15828262e-25,-2.43239195e-22
0.399371989,2.2397328e-25,6.73504397e-23,1.67580703e-25,2.80008655e-23
0.401170962,2.35178219e-25,5.88271619e-22,1.84364648e-25,4.5616122e-22
